Subzone,SqFootage,HousingUnits,Population,Population_Male,Population_Female,Worked,Worked in a principal city,Worked outside any principal city,Workers who travel to work,Total time to work (minutes),Drove alone to Work,Carpooled to Work,Population_3andover,Enrolled in school,"Enrolled in nursery school, preschool",Enrolled in kindergarten,"Enrolled in college, undergraduate years",Graduate or professional school,Not enrolled in school,Households_earnings,Households_wageorsalaryincome,Households_selfemploymentincome,Households_interest_dividends,Households_SSI,Households_publicassistanceincome,MedianAge_Total,MedianAge_Male,MedianAge_Female,HouseholdIncome_Median,HouseholdIncome_Median_under25,HouseholdIncome_Median_25to44,HouseholdIncome_Median_65andover,HouseholdIncome_Median_45to64,Income_PerCapita
ZONE1A,21969431.69,77,2866,1379,1487,1097,,,1061,,911,64,2763,730,58,0,88,76,2033,905,865,119,155,164,26,33,27,40,25994,,31089,43746,27679,16862
ZONE1B,23308652.29,68,3417,1965,1452,2025,,,1993,39070,1379,456,3295,992,29,15,597,134,2303,1285,1285,80,229,28,17,37,38,34,52050,20042,47114,81316,55827,22271
ZONE1C,6501903.903,30,626,202,424,317,,,317,,256,52,606,88,27,0,14,0,518,229,229,68,13,38,5,45,37,46,22150,,,18068,34792,14181
ZONE1D,130615765.8,182,4522,2295,2227,2366,37,18,2339,21610,2091,207,4358,1165,48,30,476,125,3193,1657,1657,70,276,107,84,31,28,32,33225,23190,35873,32084,44433,20857
ZONE2A,67322441.35,75,2891,1673,1218,973,,,973,,828,120,2846,472,0,41,91,12,2374,581,581,62,54,107,67,38,39,37,45937,,50703,27333,54733,22852
ZONE2B,65803266.71,66,4049,2051,1998,2079,860,458,2018,32890,1879,115,3893,1085,59,113,244,30,2808,1107,1055,140,331,10,0,30,32,32,74560,,55953,56630,112939,30678
ZONE2D,96764839.98,140,5753,2771,2982,2813,1266,575,2657,23230,2343,262,5495,1579,270,105,245,43,3916,1764,1682,252,484,7,14,34,34,35,71448,,74738,63880,75549,27722
ZONE3B,27419461.49,67,3317,1542,1775,1574,435,57,1553,,1376,157,3154,986,107,45,147,85,2168,869,855,138,229,50,35,34,33,35,82265,,93336,74572,76682,25427
ZONE3C,34888901.65,52,2395,1205,1190,1411,,,1350,,1244,93,2317,584,40,19,74,17,1733,771,771,96,232,18,0,41,38,42,104883,,103516,97813,118667,38067
ZONE3D,72762534.68,199,6399,3010,3389,3302,,,3136,59025,2752,226,6241,2071,92,41,1083,70,4170,2059,1986,254,411,109,49,32,32,29,51135,33098,70660,48053,50309,32859
ZONE3E,85087944.85,270,16443,8025,8418,8145,232,15,7945,125650,6560,781,15628,8731,194,54,6354,323,6897,4564,4459,434,604,164,175,23,23,23,35085,27742,39587,62030,58637,15470
ZONE3X,194076.3674,51,2846,1326,1520,1423,751,637,1408,,1283,125,2798,804,0,15,59,0,1994,1008,948,139,169,32,0,35,38,33,57000,,51445,29881,91176,28753
ZONE4A,21330088.36,91,4901,2125,2776,2571,1402,1052,2448,39310,2304,144,4643,1092,30,98,128,0,3551,1562,1545,125,189,45,59,34,36,32,57029,,64716,30234,60641,23034
ZONE4B,160548828.8,339,16874,8193,8681,8880,1705,1257,8534,197625,7463,941,16408,5203,218,509,1087,274,11205,5413,5212,605,775,195,84,35,33,37,82487,,82696,60411,84617,33754
ZONE4C,178708188.2,380,22203,11001,11202,12294,2017,1424,11935,339440,11061,712,21055,6096,439,358,1611,216,14959,7223,6816,771,985,78,139,33,34,31,58654,43704,62253,36146,63319,25579
ZONE5A,14008567.4,48,2554,982,1572,1502,,,1489,,1457,16,2409,808,19,0,622,9,1601,860,860,40,35,10,45,24,30,23,34549,34375,46625,15750,38017,16614
ZONE5B,71266466.78,233,9783,5268,4515,4522,106,55,4451,,3647,620,9206,3316,231,157,1493,408,5890,3021,2943,220,344,128,291,27,27,28,29922,24118,37845,29634,47085,17043
ZONE5C,41811770.52,143,3696,1871,1825,1851,29,7,1720,32960,1497,146,3599,1093,55,48,341,73,2506,1183,1117,214,334,45,29,36,31,44,50335,76402,50313,34793,65231,35589
ZONE5D,51888770.74,80,2846,1438,1408,1495,950,483,1474,43950,1367,68,2788,896,0,102,227,28,1892,771,739,102,168,24,0,36,32,40,69811,,102589,32045,69947,26675
ZONE6A,193950592.3,393,14516,7184,7332,6997,970,806,6605,49865,6051,462,14188,3917,177,102,665,174,10271,4359,4243,756,1443,143,51,44,41,45,94733,,97535,61745,114009,41097
ZONE6B,71519797.81,119,4503,2084,2419,2370,339,168,2320,16535,2189,86,4367,1299,18,134,385,17,3068,1313,1230,221,381,67,41,37,35,40,71232,,68334,47214,80335,28154
ZONE6C,83920696.36,176,7759,3473,4286,3688,,,3548,29270,3289,157,7608,1660,76,188,356,44,5948,2492,2333,461,730,116,58,38,37,40,48009,13912,47873,47555,54849,25295
ZONE7B,71683309.47,227,12162,6477,5685,6062,1408,912,5835,69275,5308,399,11851,3713,136,140,966,213,8138,3969,3932,255,608,37,77,35,30,37,60729,50259,82933,36029,63865,27667
ZONE7C,53630347.61,238,8040,3845,4195,3991,1335,545,3792,117770,3361,383,7621,2038,114,115,284,108,5583,2452,2422,259,493,60,83,36,36,36,79633,39696,85153,51478,89011,30844
ZONE7D,36142020.32,45,1179,577,602,766,332,254,729,16390,688,41,1151,172,0,10,50,25,979,416,395,81,114,8,0,45,48,43,78477,,79000,68194,97625,37077